HE 0534-4548                   2460037.55234062    -96.6773    0.1955 
TYC 9257-57-1                  2460037.72843729      8.1684    0.0070 
S1 211                         2460037.57290433     80.5693    0.0177 
S1 211                         2460037.58390864     80.4620    0.0179 
TYC 9244-867-1                 2460037.69419731    -23.8966    0.0206 
TYC 5996-1835-1                2460037.60542359    -30.3544    0.0127 
TYC 9257-57-1                  2460037.74175992      8.1299    0.0070 
TYC 8662-1456-1                2460037.68094399    -25.5468    0.0070 
TYC 9244-867-1                 2460037.70779724    -23.8534    0.0201 
HE 0534-4548                   2460037.51432104    149.0220    0.1922 
HE 0534-4548                   2460037.53437990    174.3384    0.2240 
GaiaDR2 3337834353779474432    2460038.48637786     75.7870    0.0202 
GaiaDR2 3337834353779474432    2460038.49853975     76.0485    0.0182 
EN Mon                         2460039.48332335     56.2184    0.1160 
Source 579592852909815552      2460039.54775462     54.0833    0.0098 
EN Mon                         2460039.51753073     56.7221    0.0228 
EN Mon                         2460039.49725051     56.8739    0.0253 
Source 579592852909815552      2460039.56919003     53.9972    0.0096 
Source 3854012834900183936     2460040.50707785    -35.0807    0.0082 
Source 3854012834900183936     2460040.52762978    -35.1285    0.0076 
UCAC2 14312220                 2460160.66718741    -20.5120    0.0077 
TYC 8740-23-1                  2460160.59615833      7.1320    0.0070 
TYC 8740-23-1                  2460160.58185951      7.1590    0.0070 
UCAC2 30705211                 2460160.52836059    -40.6554    0.0130 
2MASS J03145506-6656591        2460160.82915619    259.0102    0.0112 
HD 146800                      2460160.56463961      2.0171    0.0070 
HD 219899                      2460160.79327711     22.5652    0.0070 
UCAC2 14312220                 2460160.71430860    -20.5262    0.0070 
ASASSN-V J181441.19-755530.2   2460160.63659413     19.7983    0.0613 
TYC  54-642-1                  2460160.90511832    -11.0064    0.0077 
TYC  54-642-1                  2460160.92058126    -11.0139    0.0080 
TYC 5204-375-1                 2460160.77738526     -8.1623    0.0086 
UCAC2 30705211                 2460160.48130124    -40.6995    0.0104 
CD-77 1143                     2460160.80658727     -2.1362    0.0070 
TYC 5204-375-1                 2460160.74030806     -8.1903    0.0072 
ASASSN-V J181441.19-755530.2   2460160.61616886     20.4083    0.0515 
TYC 5204-375-1                 2460160.75903631     -8.1471    0.0080 
UCAC2 30705211                 2460160.50484666    -40.6377    0.0111 
