HD10780  	 2459467.427 	 18.147 	 2.55413 	 0.563426
HD189132 	 2459467.412 	 -17.7231 	 -37.9767 	 1.31259
HD2291   	 2459467.59 	 14.4587 	 2.53975 	 0.0162178
HD187921 	 2459468.264 	 -13.1055 	 -3.32799 	 1.12257
HD220624 	 2459468.411 	 8.97698 	 -4.72335 	 0.0434088
HD26897  	 2459468.626 	 26.598 	 -0.772945 	 0.338792
HD32456  	 2459468.657 	 25.0381 	 14.982 	 1.61415
HD33363  	 2459468.641 	 17.8595 	 -51.2252 	 0.467072
HD48680  	 2459468.604 	 20.2813 	 -33.9718 	 0.255645
HD185151 	 2459470.34 	 -14.5536 	 -35.2123 	 0.0699876
HD10780  	 2459471.456 	 17.5365 	 3.06941 	 0.694184
HD205197 	 2459471.32 	 1.32822 	 7.51935 	 0.540081
HD208253 	 2459471.358 	 3.26243 	 -10.6044 	 0.542317
HD211227 	 2459471.333 	 4.34209 	 -3.27287 	 0.601682
V2012Cyg 	 2459471.292 	 -10.7494 	 5.25643 	 1.42662
HD10780  	 2459472.49 	 17.3468 	 1.94036 	 0.41882
BD+622179 	 2459472.416 	 9.47442 	 10.1203 	 1.64052
HD222355 	 2459472.439 	 8.95146 	 -11.5051 	 1.11978
HD31913  	 2459472.64 	 28.2644 	 -1.07411 	 1.55636
HD4757   	 2459472.502 	 13.7308 	 -0.0469615  0.956634
RCyg     	 2459472.256 	 -5.73324 	 -8.33979 	 4.74929
HD10780  	 2459483.571 	 15.1889 	 2.25132 	 0.453682
RCyg     	 2459483.455 	 -7.50363 	 -18.3074 	 32.4508
BD+54144A 	 2459483.56 	 11.5586 	 -14.8844 	 1.59902
HD10780  	 2459489.489 	 13.9054 	 2.60397 	 0.614594
HD28987  	 2459489.48 	 24.569 	 9.55164 	 1.72314
HD31381  	 2459489.499 	 27.068 	 17.5399 	 1.16213
HD4350   	 2459489.38 	 9.19535 	 4.86844 	 60.2475
SUTri    	 2459489.457 	 15.7547 	 90.6821 	 25.6325
TVAur    	 2459489.538 	 25.1494 	 20.5052 	 2.40482
V1139Tau 	 2459489.521 	 24.9532 	 -5.30434 	 1.76189
TVAur    	 2459508.407 	 20.9249 	 22.811 	 3.59871
HD23952  	 2459508.376 	 14.7314 	 36.2351 	 2.21799
HD277477 	 2459508.447 	 22.0741 	 6.59461 	 0.525726
HD51273  	 2459511.393 	 27.6415 	 51.7969 	 2.32473
HD59555  	 2459511.377 	 26.6262 	 -26.1971 	 1.31209
HD105341 	 2459628.513 	 9.22883 	 -51.3947 	 0.870956
HD92855  	 2459628.492 	 -2.28693 	 29.1027 	 0.91444
CNCvn    	 2459644.534 	 5.11549 	 -54.3502 	 1.58472
HD135148 	 2459644.629 	 22.1443 	 -93.3004 	 3.12632
HD142743 	 2459644.569 	 19.1019 	 -51.4991 	 0.0519809
SUMa     	 2459644.485 	 -3.70521 	 30.2505 	 9.75935
BD+172512 	 2459649.536 	 6.33311 	 -27.8823 	 2.55667
HD161570 	 2459649.567 	 11.6798 	 -39.2333 	 0.917233
HD90162  	 2459649.492 	 -11.8194 	 -52.095 	 0.703995
DICam    	 2459650.491 	 -16.4279 	 -81.7353 	 0.571722
RCyg     	 2459650.544 	 5.65966 	 -11.4342 	 19.3132
V555Lyr  	 2459650.566 	 13.3945 	 28.504 	 0.941224
ZZCnc    	 2459650.406 	 -23.1193 	 73.2431 	 4.17814
HD211227 	 2459822.524 	 7.75955 	 -9.73188 	 1.42215
HD26897  	 2459825.631 	 26.8419 	 -3.75584 	 0.888936
RCyg     	 2459828.273 	 -4.29393 	 -15.9374 	 6.99762
HD196673 	 2459858.313 	 -14.4735 	 -18.0299 	 0.577477
HD191226 	 2459858.342 	 -14.2821 	 -18.1764 	 0.850651
HD199939 	 2459858.369 	 -8.96425 	 -29.6054 	 0.558896
HD201657 	 2459858.406 	 -18.7778 	 -24.6645 	 0.641024
HD209621 	 2459858.45 	 -13.6359 	 44.1088 	 28.0456
TVAur    	 2459858.556 	 24.453 	 54.0076 	 2.34309
